Aubergine,	2, #, vegetable
Corgette,	2, #, vegetable
Peppers,	4, #, vegetable
Lasagna sheets,	12, #, dry
Red onion,	1, #, veg
Garlic,	4, cloves, veg
Pasatta ,	700, ml, dry
Cashew nuts,	150, g,  baking
Milk,	450, ml, dairy
Butter,	50, g, dairy
Flour,	25, g, baking
Pesto,	1, jar, dry
