Pasta, 200, g, tins
Mushrooms, 250, g, vegetable
onion, 1, #, vegetable
tomato puree, 2, tbsp, 	tins
garlic, 2, cloves, vegetable
soy suace, 2, tbsp, seasoning
balsamic vinegar, 2, tbsp, seasoning
carrot, 3, #, vegetable
