olive oil,	6, tbsp, seasoning
aubergines, 2, #, vegetable
red onion, 1, #, vegetable
garlic,	2, cloves, vegetable
tinned tomatoes, 1, tin, tins
balsamic vinegar, 1, tbsp, seasoning
halloumi, 1, #, dairy
puff pastry, 1, #, dairy
pine nuts, 	50, g, baking
